#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
CI|COK2|32.85053|-115.7284|-14.0|Cook Ranch 2|2013-02-13T00:00:00|3000-01-01T00:00:00
CI|CPO|32.64266|-116.48514|838.0|Campo Elementary School|2016-04-04T00:00:00|3000-01-01T00:00:00
CI|CPT2|33.34183|-117.32502|771.0|Camp Pendleton 2|2015-06-29T00:00:00|3000-01-01T00:00:00
CI|CRF|33.873521|-118.039376|18.1|Cerritos Fire Station aka LACoFD Station 35|2015-11-06T20:00:00|3000-01-01T00:00:00
CI|CRG|35.2422|-119.72486|1169.0|Crocker Grade|1976-07-21T00:00:00|3000-01-01T00:00:00
CI|CRN|33.87574|-117.56106|204.8|Corona|1995-08-15T00:00:00|3000-01-01T00:00:00
CI|CRR|32.88682|-115.96918|66.0|Carrizo|1950-04-09T00:00:00|3000-01-01T00:00:00
CI|CRY|34.77743|-119.62793|1527.9|Choke Cherry|2021-08-06T00:00:00|3000-01-01T00:00:00
CI|CSH|33.6442|-116.5956|1637.0|Camp Scherman|2016-02-01T00:00:00|3000-01-01T00:00:00
CI|CSL|34.496513|-118.616208|353.9|Castaic Lake aka  LACoFD Station 149|2015-09-08T12:00:00|3000-01-01T00:00:00
CI|CTC|33.65516|-115.99006|538.0|Cactus City|2000-04-27T00:00:00|3000-01-01T00:00:00
CI|CTW|33.67728|-115.87214|504.0|Cottonwood Mtns|1977-08-31T00:00:00|3000-01-01T00:00:00
CI|CVW|34.92217|-118.93913|804.8|Castaic Valley West|2011-09-22T00:00:00|3000-01-01T00:00:00
CI|CWC|36.439047|-118.080495|1569.5|Cottonwood Creek|1965-10-15T00:00:00|3000-01-01T00:00:00
CI|CWP|33.557975|-117.55775|242.6|Ronald W. Caspers Wilderness Park|2018-02-14T20:00:00|3000-01-01T00:00:00
CI|CYP|32.906111|-116.627222|1013.7|Cuyamaca Peak|2017-07-14T17:00:00|3000-01-01T00:00:00
CI|CZN|33.91375|-116.78409|538.0|Cabazon|2013-10-29T00:00:00|3000-01-01T00:00:00
CI|DAN|34.63745|-115.38115|428.0|Danby|1998-09-22T00:00:00|3000-01-01T00:00:00
CI|DAW|36.27148|-117.59214|1477.4|Darwin|2017-02-27T00:00:00|3000-01-01T00:00:00
CI|DEC|34.25353|-118.33383|519.0|Green Verdugo Site|2000-08-10T20:30:00|3000-01-01T00:00:00
CI|DEV|33.93597|-116.57794|337.0|Devers|1997-11-11T00:00:00|3000-01-01T00:00:00
CI|DGR|33.65001|-117.00947|650.0|Domenigoni|1993-06-22T00:00:00|3000-01-01T00:00:00
CI|DJJ|34.10618|-118.45505|268.0|Donna Jones Jenkins|1998-11-09T00:00:00|3000-01-01T00:00:00
CI|DLA|33.84822|-118.09624|14.0|Del Amo|2000-05-04T23:59:00|3000-01-01T00:00:00
CI|DNR|33.56667|-116.63056|1274.0|Dunn Ranch|2001-10-22T00:00:00|3000-01-01T00:00:00
CI|DPP|32.99889|-116.94187|463.0|Dos Picos County Park|2000-10-24T00:00:00|3000-01-01T00:00:00
CI|DRE|32.80532|-115.44679|-13.0|Desert Research Extended Center|2002-07-17T00:00:00|3000-01-01T00:00:00
CI|DSC|35.14255|-116.10395|283.0|Desert Studies Center|2002-10-29T00:00:00|3000-01-01T00:00:00
CI|DSN10|34.136187|-118.127443|232.0|sensor test site at B152 Seismolab|2016-07-01T00:00:00|3000-01-01T00:00:00
CI|DSN5|34.17141|-118.18523|341.0|CI DSN5 test vault - 1st datalogger|2010-03-19T00:00:00|3000-01-01T00:00:00
CI|DSN6|34.17141|-118.18523|341.0|CI DSN6 test vault - 2nd datalogger|2010-03-19T00:00:00|3000-01-01T00:00:00
CI|DTC|34.424157|-118.661913|382.7|Del Valle - LACoFD Regional Training Center|2015-09-17T12:00:00|3000-01-01T00:00:00
CI|DTP|35.26742|-117.84581|908.0|Desert Tortoise Park|1981-05-31T00:00:00|3000-01-01T00:00:00
CI|DZA|32.60657|-116.77477|554.7|Dulzura|2016-03-21T00:00:00|3000-01-01T00:00:00
CI|EDW2|34.8811|-117.99388|772.0|Edwards 2|2004-05-04T00:00:00|3000-01-01T00:00:00
CI|ELS2|33.64907|-117.42604|844.0|Elsinore 2|2013-05-21T00:00:00|3000-01-01T00:00:00
CI|EML|32.89083|-116.84566|161.0|El Monte County Park|2000-10-26T00:00:00|3000-01-01T00:00:00
CI|EMS|32.73921|-114.98521|11.0|East Mesa|1982-05-31T00:00:00|3000-01-01T00:00:00
CI|EOC|34.450291|-119.769411|75.0|Emergency Office Center|2013-12-04T00:00:00|3000-01-01T00:00:00
CI|ERR|33.11652|-115.82273|-56.0|Elmore's Ranch|2014-03-24T00:00:00|3000-01-01T00:00:00
CI|ESI2|33.67493|-117.32592|388.0|Elsinore|2019-06-03T00:00:00|3000-01-01T00:00:00
