time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2022-04-20T15:03:43.770Z, 32.91350, -115.51450,   5.45, KILOMETER,  2.07, Ml
2022-04-20T14:46:31.730Z, 32.43917, -115.27817,   4.19, KILOMETER,   2.2, Ml
2022-04-20T07:19:41.530Z, 33.66983, -119.35650,   5.93, KILOMETER,  2.88, Ml
2022-04-20T06:33:32.120Z, 32.90917, -115.51833,   5.19, KILOMETER,  2.24, Ml
2022-04-20T06:15:48.920Z, 32.91533, -115.51050,   5.43, KILOMETER,  2.23, Ml
2022-04-20T05:19:44.850Z, 32.91800, -115.51117,  11.48, KILOMETER,  3.41, Ml
2022-04-20T03:58:46.590Z, 32.91433, -115.51267,   5.62, KILOMETER,  2.08, Ml
2022-04-20T03:56:46.450Z, 32.91500, -115.51717,   7.69, KILOMETER,  3.29, Ml
2022-04-20T01:22:26.590Z, 32.91517, -115.49667,   8.18, KILOMETER,  2.27, Ml
2022-04-19T22:53:54.430Z, 32.91200, -115.50450,   6.13, KILOMETER,  2.23, Ml
2022-04-19T21:08:48.300Z, 32.90000, -115.51017,   5.64, KILOMETER,  2.15, Ml
2022-04-19T21:04:34.570Z, 32.91083, -115.50917,   7.53, KILOMETER,  2.45, Ml
2022-04-19T20:51:28.980Z, 32.90333, -115.50850,   7.28, KILOMETER,  2.79, Ml
2022-04-19T20:40:55.930Z, 32.90500, -115.51283,   5.86, KILOMETER,  2.38, Ml
2022-04-19T20:30:08.420Z, 32.91050, -115.51383,  11.46, KILOMETER,  3.72, Mw
2022-04-19T20:22:41.540Z, 32.90950, -115.51650,  11.77, KILOMETER,  3.61, Mw
2022-04-19T18:15:05.270Z, 32.91167, -115.51533,   5.59, KILOMETER,  2.82, Ml
2022-04-19T13:48:06.150Z, 35.94383, -117.67617,   4.05, KILOMETER,  2.73, Ml
2022-04-19T05:55:32.520Z, 36.17600, -118.00433,   3.26, KILOMETER,   2.3, Ml
2022-04-19T00:27:35.890Z, 32.40700, -115.24967,  11.13, KILOMETER,  2.76, Ml
2022-04-19T00:00:03.350Z, 32.33583, -115.25450,  10.97, KILOMETER,  2.21, Ml
2022-04-18T23:30:49.110Z, 32.42500, -115.25900,   4.76, KILOMETER,  2.49, Ml
2022-04-18T23:18:49.000Z, 32.36717, -115.24633,  10.96, KILOMETER,  2.56, Ml
2022-04-18T22:35:34.450Z, 32.41500, -115.25283,  18.50, KILOMETER,  3.31, Ml
2022-04-18T22:22:12.970Z, 32.42350, -115.26000,   2.67, KILOMETER,  2.94, Ml
2022-04-18T21:13:14.960Z, 32.39850, -115.22550,  12.86, KILOMETER,  2.03, Ml
2022-04-18T01:08:31.240Z, 33.15883, -116.48383,  11.67, KILOMETER,  2.39, Ml
2022-04-17T02:51:39.320Z, 35.94383, -117.67467,   4.26, KILOMETER,  2.38, Ml
2022-04-16T22:06:06.540Z, 35.98150, -118.33967,   2.93, KILOMETER,  2.08, Ml
2022-04-16T21:10:58.870Z, 36.04117, -117.57600,   1.10, KILOMETER,   2.7, Ml
2022-04-16T14:04:37.710Z, 32.63700, -115.71400,   9.75, KILOMETER,  2.43, Ml
2022-04-15T21:29:58.000Z, 34.06100, -118.77550,  10.12, KILOMETER,  2.17, Ml
2022-04-15T10:39:03.830Z, 32.92217, -116.29250,   5.75, KILOMETER,  2.17, Ml
2022-04-14T11:18:09.210Z, 36.03117, -117.69000,   1.36, KILOMETER,  2.06, Ml
2022-04-14T06:33:40.730Z, 33.36333, -116.36250,   3.28, KILOMETER,  2.58, Ml
2022-04-13T13:03:16.430Z, 33.37683, -116.87967,   5.02, KILOMETER,  2.01, Ml
2022-04-12T19:31:03.370Z, 33.91983, -117.08317,  13.65, KILOMETER,  2.23, Ml
2022-04-12T10:57:05.720Z, 32.28033, -115.34183,  10.72, KILOMETER,  2.67, Ml
2022-04-11T23:40:20.790Z, 33.17283, -115.64367,   7.73, KILOMETER,  3.24, Ml
2022-04-11T21:56:05.430Z, 35.66017, -117.53200,   9.82, KILOMETER,  2.29, Ml
2022-04-10T20:09:36.400Z, 32.75817, -115.41550,  10.67, KILOMETER,  2.14, Ml
2022-04-10T13:54:42.240Z, 32.68450, -115.68683,  11.06, KILOMETER,  2.33, Ml
2022-04-10T10:50:06.460Z, 32.75550, -115.41333,  11.88, KILOMETER,   2.0, Ml
2022-04-10T08:21:03.590Z, 34.62533, -116.57167,   7.41, KILOMETER,  2.12, Ml
2022-04-10T04:58:48.040Z, 36.09800, -117.86267,   5.60, KILOMETER,   2.1, Ml
2022-04-10T01:56:50.580Z, 36.09783, -117.86233,   5.20, KILOMETER,  2.03, Ml
2022-04-09T15:09:47.330Z, 35.90217, -117.69250,   3.97, KILOMETER,  2.26, Ml
2022-04-09T14:22:43.170Z, 35.63817, -117.43000,   3.07, KILOMETER,  2.07, Ml
2022-04-09T13:14:38.560Z, 35.36800, -118.47717,   7.83, KILOMETER,  2.52, Ml
2022-04-09T11:23:39.050Z, 35.89683, -117.71000,   2.63, KILOMETER,  2.26, Ml
2022-04-09T02:41:36.890Z, 32.76533, -115.41950,  11.46, KILOMETER,  2.38, Ml
2022-04-09T02:33:28.740Z, 35.04117, -116.97567,   2.18, KILOMETER,  2.37, Ml
2022-04-08T09:35:54.780Z, 35.31317, -118.53617,   3.29, KILOMETER,  3.28, Ml
2022-04-08T01:07:18.280Z, 36.08167, -117.86733,   1.69, KILOMETER,   2.3, Ml
2022-04-07T23:25:01.830Z, 35.58683, -117.59467,   4.53, KILOMETER,  2.01, Ml
2022-04-07T15:51:11.830Z, 33.99483, -118.35083,  10.45, KILOMETER,  2.09, Ml
2022-04-07T04:35:29.400Z, 36.42900, -117.92567,   0.96, KILOMETER,  2.46, Ml
2022-04-06T19:52:50.130Z, 33.78150, -116.15567,   4.92, KILOMETER,  2.44, Ml
2022-04-06T18:07:41.820Z, 33.06467, -115.00250,  -0.20, KILOMETER,  2.12, Ml
2022-04-06T03:05:12.750Z, 35.79900, -118.04633,   8.75, KILOMETER,  2.06, Ml
2022-04-05T10:47:34.980Z, 33.30567, -116.31883,  10.75, KILOMETER,   2.4, Ml
2022-04-05T06:30:29.160Z, 35.72200, -117.57300,   8.35, KILOMETER,  2.08, Ml
2022-04-04T17:56:56.960Z, 34.42567, -120.00583,   1.53, KILOMETER,  2.47, Ml
2022-04-04T17:25:18.690Z, 33.99983, -119.10150,   9.32, KILOMETER,   2.5, Ml
2022-04-04T12:07:44.840Z, 33.99967, -119.09633,   9.72, KILOMETER,  2.03, Ml
2022-04-04T08:41:16.610Z, 33.54233, -115.89217,   3.71, KILOMETER,  2.04, Ml
2022-04-03T22:22:55.150Z, 32.38367, -115.25117,  12.02, KILOMETER,  2.01, Ml
2022-04-03T16:45:33.000Z, 33.48100, -116.56833,   7.99, KILOMETER,  2.44, Ml
